City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
296,Muli,MV,82.78,few clouds,2.9167,73.5667,Medhufushi Island Resort
298,Rock Sound,BS,75.58,clear sky,24.9,-76.2,Rock Sound Club
304,Auki,SB,82.42,light rain,-8.7676,160.7034,Auki Motel
305,Kusti,SD,78.42,clear sky,13.1629,32.6635,فندق الكوباري - Kobari Hotel
314,Boa Vista,BR,78.78,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
321,Conde,BR,78.26,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
331,Sinnamary,GF,76.51,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
336,Pangobilian,PH,82.58,scattered clouds,8.8011,117.8594,Sir Brooke's Resort
337,Bitung,ID,86.85,overcast clouds,1.4451,125.1824,K2 Lembeh
339,Lorengau,PG,83.25,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
341,Bengkulu,ID,83.28,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
344,Jiwani,PK,76.1,few clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
345,Labuhan,ID,84.13,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
348,Kyaikkami,MM,81.09,few clouds,16.08,97.5675,St. joseph catholic church
358,Bonthe,SL,77.09,light rain,7.5264,-12.505,Bonthe Holiday Village
361,Sawtell,AU,82.72,thunderstorm with heavy rain,-30.3833,153.1,The Bungalow Sawtell
364,Liku,ID,86.76,overcast clouds,-0.7275,119.8922,Wahyu
365,Sao Jose Da Coroa Grande,BR,77.45,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
366,Porto Novo,BJ,80.42,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
367,Lubao,PH,87.82,broken clouds,14.9167,120.55,Hacienda Gracia
371,Ambon,ID,84.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
372,Shwebo,MM,80.53,scattered clouds,22.5667,95.7,MOON SHINE Guest House
382,Harlingen,US,75.2,mist,26.1906,-97.6961,Courtyard by Marriott Harlingen
389,Pitimbu,BR,79.39,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
398,Guanica,PR,78.21,few clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
402,Farafangana,MG,79.43,light rain,-22.8167,47.8333,Miarina
406,Hervey Bay,AU,87.04,clear sky,-25.2986,152.8535,Shelly Bay Resort
417,Ixtapa,MX,77.23,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
424,Saint-Pierre,RE,85.64,clear sky,-21.3393,55.4781,Lindsey Hôtel
442,Kudahuvadhoo,MV,82.42,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
452,Yeppoon,AU,89.38,clear sky,-23.1333,150.7333,Villa Mar Colina
455,Dubai,AE,79.21,scattered clouds,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
457,Champerico,GT,75.76,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
460,Atambua,ID,81.19,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
463,Puerto Escondido,MX,77.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
466,Cabo San Lucas,MX,77.5,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
469,Pringsewu,ID,84.24,moderate rain,-5.3582,104.9744,Urban Style by Front One
471,Boyolangu,ID,85.6,overcast clouds,-8.1181,111.8935,Yos ega cv
472,Lamu,KE,84.42,light rain,-2.2717,40.902,Lamu House
479,Quatre Cocos,MU,83.08,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
484,Long Xuyen,VN,76.95,broken clouds,10.3833,105.4167,Nhà Nghỉ Sài Gòn Ngày Đêm
491,Noumea,NC,85.98,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
522,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
525,Puerto Narino,CO,75.15,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
527,Epe,NG,76.46,overcast clouds,6.5841,3.9834,MAGVILLE HOTEL
530,Bhiwandi,IN,82.18,clear sky,19.3,73.0667,Hotel Galaxy
531,The Valley,AI,80.46,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
538,Alofi,NU,78.69,overcast clouds,-19.0595,-169.9187,Taloa Heights
541,Ugoofaaru,MV,82.2,few clouds,5.6667,73.0,Ungoofaaru Inn
549,Kloulklubed,PW,83.79,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
554,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
559,Nakhon Thai,TH,82.31,scattered clouds,17.1006,100.8374,Phet resort
560,Lazaro Cardenas,MX,76.48,broken clouds,17.9583,-102.2,quinta antigua
561,Soanierana Ivongo,MG,78.76,scattered clouds,-16.9167,49.5833,La Concorde
572,Kilindoni,TZ,80.06,moderate rain,-7.9139,39.6668,Bustani B&B
582,Hobyo,SO,81.25,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
586,Natal,BR,80.82,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
591,Salalah,OM,78.15,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
602,Lumajang,ID,86.45,overcast clouds,-8.1335,113.2248,SPOT ON 2440 Wallet Family Residence
605,Pyu,MM,83.95,few clouds,18.4833,96.4333,Mr Bo Bo
606,Hoi An,VN,76.96,scattered clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
611,Ratnagiri,IN,80.87,overcast clouds,16.9833,73.3,Hotel Landmark
612,Namatanai,PG,84.9,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
617,Marang,MY,75.11,overcast clouds,5.2056,103.2059,DBarakah Homestay
