City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
269,Dongsheng,CN,39.8161,109.9776,35.17,15,6,9.28,clear sky
270,Mana,GF,5.6592,-53.7767,76.26,90,88,7.09,overcast clouds
271,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,72.25,97,95,3.02,overcast clouds
272,Hambantota,LK,6.1241,81.1185,82.8,73,85,2.73,overcast clouds
273,Shelton,US,41.3165,-73.0932,38.97,69,1,1.01,clear sky
274,Manokwari,ID,-0.8667,134.0833,81.46,83,97,18.16,overcast clouds
275,Mujiayingzi,CN,42.1167,118.7833,37.54,31,1,6.93,clear sky
276,Ukholovo,RU,53.7929,40.4892,29.25,88,82,11.65,broken clouds
277,Ulaanbaatar,MN,47.9077,106.8832,14.13,57,12,2.24,few clouds
278,Lisala,CD,2.15,21.5167,70.56,97,100,0.34,overcast clouds
279,Tura,IN,25.5198,90.2201,76.46,54,86,2.62,overcast clouds
280,Plyussa,RU,58.4308,29.3654,21.61,94,99,7.52,overcast clouds
281,Beringovskiy,RU,63.05,179.3167,14.31,69,20,14.65,few clouds
282,Kangaatsiaq,GL,68.3065,-53.4641,20.3,59,95,28.23,overcast clouds
283,Touros,BR,-5.1989,-35.4608,79.7,81,98,11.99,overcast clouds
284,Ca Mau,VN,9.1769,105.15,81.16,59,93,10.67,overcast clouds
285,Sabang,ID,5.8933,95.3214,81.16,74,100,19.33,overcast clouds
286,Tasiilaq,GL,65.6145,-37.6368,24.96,57,3,6.24,clear sky
287,Kazachinskoye,RU,57.6953,93.2761,26.4,85,100,14.47,overcast clouds
288,Attendorn,DE,51.1265,7.9033,39.16,94,100,4.05,overcast clouds
289,Yichun,CN,47.7,128.9,6.51,58,4,8.79,clear sky
290,Kargasok,RU,59.0556,80.8572,24.75,91,100,14.88,light snow
291,Muros,ES,42.7762,-9.0603,59.99,95,93,15.64,overcast clouds
292,Misratah,LY,32.3754,15.0925,54.19,63,67,25.59,broken clouds
293,Abu Kamal,SY,34.4506,40.9171,54.0,42,98,6.38,overcast clouds
294,Geraldton,AU,-28.7667,114.6,97.21,23,0,19.57,clear sky
295,Uruzgan,AF,32.8333,66.0,51.33,14,12,4.32,few clouds
296,Muli,MV,2.9167,73.5667,82.78,74,19,9.22,few clouds
297,Luderitz,NA,-26.6481,15.1594,61.12,75,78,15.12,broken clouds
298,Rock Sound,BS,24.9,-76.2,75.58,63,1,12.01,clear sky
299,Adre,TD,13.4667,22.2,66.63,29,10,8.46,clear sky
300,Nanortalik,GL,60.1432,-45.2371,36.1,90,100,32.41,moderate rain
301,Nome,US,64.5011,-165.4064,6.87,85,90,23.02,light snow
302,Palana,RU,59.1167,159.9667,22.03,88,100,6.04,overcast clouds
303,Kumbo,CM,6.2,10.6667,59.67,52,70,3.87,broken clouds
304,Auki,SB,-8.7676,160.7034,82.42,78,100,1.61,light rain
305,Kusti,SD,13.1629,32.6635,78.42,33,0,10.36,clear sky
306,Mackay,AU,-21.15,149.2,91.69,66,37,14.97,scattered clouds
307,Thinadhoo,MV,0.5333,72.9333,82.27,76,47,12.3,scattered clouds
308,Nuuk,GL,64.1835,-51.7216,25.41,50,90,21.85,light snow
309,Prainha,BR,-1.8,-53.48,73.83,92,97,0.65,overcast clouds
310,Pevek,RU,69.7008,170.3133,-9.56,92,100,11.7,overcast clouds
311,Dakar,SN,14.6937,-17.4441,70.68,59,98,18.23,overcast clouds
312,San Patricio,US,28.017,-97.5169,73.26,90,3,9.1,clear sky
313,Dudinka,RU,69.4058,86.1778,-27.38,95,69,11.95,broken clouds
314,Boa Vista,BR,2.8197,-60.6733,78.78,73,0,5.75,clear sky
315,Clyde River,CA,70.4692,-68.5914,8.83,85,88,11.5,light snow
316,Knysna,ZA,-34.0363,23.0471,59.38,75,100,5.19,overcast clouds
317,Masumbwe,TZ,-3.6333,32.1833,69.96,54,62,7.7,broken clouds
318,Diego De Almagro,CL,-26.3667,-70.05,62.29,34,9,1.77,clear sky
319,Sechura,PE,-5.5569,-80.8222,66.15,83,56,9.84,broken clouds
320,Atikokan,CA,48.7555,-91.6216,21.58,92,98,10.56,light snow
321,Conde,BR,-7.2597,-34.9075,78.26,94,40,4.61,scattered clouds
